Story_1,Intent/Action name,story_2,Intent/Action Name,story_3,Intent/Action Name,story_4,Intent/Action Name
What is Omdena's top talent program?,top_talent_general_info,,,,,,
"Omdena's top challenge projects are payed projects that involve teams of up to 5 people who work on MLOps and software development. Previous project experience with Omdena is required for these projects. Omdena's website provide information on specific projects that are currently ongoing or have been completed. Some examples of Omdena's past projects include building a stand-out data science project portfolio, helping NGOs with disaster response, and developing AI solutions for healthcare and education.",utter_top_talent_general_info,,,,,,
What is the process to become Top Talent ?,process_top_talent,What is the difference between running a Top Talent Project with Omdena and hiring an Outsourcing Software Development Company?,top_talent_difference_from_outsourcing,,,,
"1.Join Omadena to grow skills.
2.Become a leader
3.Get Paid as Top Talent",utter_process_top_talent,"There are several key differences such as the following: 1. Problem-driven talent: Omdena is a community-driven organization with intrinsically motivated engineers from diverse technical, industry-related, and cultural backgrounds. In other words, we match the most motivated and suitable engineers to your problem. “Omdena engineers are enthusiasts and interested in the problem of the company. This is key for complex projects to be successful, which almost no other company can offer as Omdena can”, says Abhimanyu Bhargava, CEO, Farm-Hand (UK); 2. Vetted: The Top 2% among more than 30.000 applications per year who have worked on similar projects and engagements; 3. Flexibility: You can work with solo engineers or teams of up to five engineers. Up and downscale according to your needs; 4. Hiring: The most important difference is that we want our top talent to be hired and get full-time jobs by other companies. When you work with an outsourcing company, you will not be able to hire developers directly. However, we know, in the mid to long term most organizations want to build in-house teams so through Omdena you can already start identifying your potential future employees.",utter_top_talent_difference_from_outsourcing,,,,
How to join Omdena to learn new skills?,omadena_enroll_process,Who are Omdena´s Top Talent engineers?,selecting_top_talent_engineers,,,,
"You can join us in various ways.
->Real World Projects<Link>
->Local Projects <Link>
->Omadena School <Link>",utter_enroll_process,"The top 2% of Omdena’s collaborators. They are selected from more than 30,000 applications. To be selected for Omdena Top Talent Pool an engineer must work on at least two Omdena AI Innovation Challenges and perform extremely well in both of them. Through running over 300 AI Innovation Challenges we have built a strong talent pool of engineers from all around the world.",utter_selecting_top_talent_engineers,,,,
How to become a leader in the Omdena Projects?,leader_collaborator,What is the pricing model to run a Top Talent Project?,top_talent_pricing_model,,,,
,utter_process_leader,"Due to our access to talent from around the world, we have a higher chance to accommodate your budget. The cost could vary a lot depending on the location of the engineers, the seniority, the tech stack required, and other factors.",utter_top_talent_pricing_model,,,,
What are the benefits of becoming Top Talent?,top_talent_benefits,Can I hire people in-house during or at the end of the project?,top_talent_hiring_members,,,,
"By working with Omdena you can develop your career, earn money, get job opportunities, and make an impact. By Joining Top Talent program and you get to access to paid projects. Earn money in special paid projects ",utter_top_talent_benefits,"Yes, it happens very often that the company decides to hire the top-performing engineers in-house from the project team. If you end up successfully hiring an engineer through Omdena we would ask you for a one-off 10% recruitment fee of the annual salary you offer to the engineer. The Top Talent Projects are a unique opportunity for you to acquire ‘hidden’ top talent in a very cost-effective compared to traditional hiring processes (like job ads + scanning through CVs + interviews).",utter_top_talent_hiring_members,,,,
How long do top talent projects typically last?,top_talent_duration,"How do you select the teams of engineers (experience, location, etc.)? Can I select the engineers on my own?",,,,,
This may depend on the project. Find information about top talent challenges on https://omdena.com/projects ,utter_top_talent_duration,"We follow a three-step process: 1. Agreement: We define the project budget, team requirements (time zone, technical requirements, etc.), and team size; 2. Team selection: After the agreement is signed we select the team within two weeks. Usually, before the team selection, we have a second call between Omdena’s Head of Projects and you/ your CTO, so we make sure we are aligned regarding n  your requirements; 3. Project kick-off: Once the project team has been confirmed we organize a kick-off meeting with you and start the project. As we know our engineers best (because they have worked with us for many months or years), we speed up the selection process by selecting the team for you. This is a faster and more reliable process based on our experience in running hundreds of successful projects. However, you have 14 days after the kick-off of the project to request a full refund if you are not satisfied with the team of engineers we have selected.",,,,,
What kind of paid projects are available for Omdena Top Talent program members?,top_talent_projects,How does the 2-week money-back guarantee work?,,,,,
"Please follow the list on https://omdena.com/projects to find information about the different projects, including Top Talent",utter_top_talent_projects,"If you decide to not continue the project within 14 days from the kick-off call, we will refund you the full amount with no questions asked. However, to date, we have run over 80 top talent projects and never had someone ask to return the advance payment.",,,,,
What are some examples of past paid projects for Omdena Top Talent program members?,top_talent_past_examples,,,,,,
"You can find information about Top Talent projects as they are announced. As such projects are not owned by Omdena, the information about past projects is not public.",utter_top_talent_past_examples,,,,,,
How do I apply for an Omdena top talent program?,top_talent_application,,,,,,
Each announced project has an application form linked to it with all the information required to apply.,utter_top_talent_application,,,,,,
How are Omdena Top Talent program members selected for paid projects?,top_talent_member_selection,,,,,,
"Omdena's Top Talent program members are selected for paid projects by being chosen from the pool of top performers in Omdena's AI Innovation Challenges1. To be selected for the Top Talent program, an engineer must complete at least ine Omdena AI Innovation Challenges and perform extremely well in it.",utter_top_talent_member_selection,,,,,,
How can I become part of Omdena Top Talent? ,becoming_top_talent,,,,,,
You should complete at least one AI innovation challenge and perform well in it. This can make you eligible to apply for top talent projects. Applications are reviewed based on the requirements of each project.,utter_becoming_top_talent,,,,,,
How can I stand out as a candidate during the Omdena interview process? ,stand_out_in_interview,,,,,,
"To stand out as a candidate during the Omdena interview process, the following tips were provided: 1. Research Omdena 2. Showcase your previous experiences 3. Demonstrate motivation 4. Commitment and availability 5. Gain first-hand experience 6. Build a strong portfolio. Good luck!",utter_stand_out_in_interview,,,,,,
How does Omdena support the career growth of its Top Talent program members?,top_talent_benefits,,,,,,
"The Top Talent program provides opportunities for developers to work on real-life problems, make an impact and develop a portfolio- while eaning money. Work is flexible as you can work from anywhere in the world at flexible times and you will enjoy the opportunity to work with people across the globe. In addition, these projects provide opprtunities for being hired by various organizations as a full-time job.",utter_top_talent_benefits,,,,,,
What are the success stories of Omdena Top Talent program members?,top_talent_success_stories,,,,,,
You can find information about personal success stories of developers who participated in the Top Talent program in the following link: https://omdena.com/top-talent/ ,utter_top_talent_success_stories,,,,,,
