Story_1,,Story_2,Intent/Action name,story_3,Intent/Action Name,story_4,Intent/Action Name,story_5,Intent/Action Name,story_6,Intent/Action Name,story_7,Intent/Action Name,story_7,Intent/Action Name,story_7,Intent/Action Name
What is Omdena's main focus?,about_omdena,How do I join Omdena?,join_omdena,"How do Omdena Local Chapters work, and how can I join one?",join_local_chapter,Are the courses paid or free?,access_courses,"Hi, I'd like to know more about Omdena projects.",about_omdena,I'm interested in becoming a collaborator. How can I join a project?,join_collaborator,Is there any support or guidance provided during the project?,support,"I represent a company and would like to partner with Omdena. How can we 
collaborate?",join_company,Are there any AI learning resources available on the website?,resources
To provide a platform for a global community of AI engineers to solve real world challenges and develop their portfolio.,utter_about_omdena,"You can join Omdena through the Local Chapters, AI Innovation Challenge or the Omdena School ",utter_join_omdena,Local Chapters enable you to work on projects related to your local communities. You can submit project ideas from your local communities or join challenges of other chapters. Find out more https://omdena.com/projects/.,utter_join_local_chapter,"As a collaborator, you could be considered for free access to paid data science courses",utter_access courses,"Sure! Omdena hosts various AI projects that tackle real-world challenges. These projects involve diverse teams 
working together to build solutions. You can find more details about our ongoing and past projects on our website. 
Is there a specific project you're interested in?",utter_about_omdena,"Visit our website's ""Projects"" section to see the list of ongoing and upcoming projects. You can 
browse through various topics and find one that aligns with your interests and skills. 
If you need any guidance or have specific questions, feel free to ask!",utter_join_collaborator,"Absolutely! Throughout the project, you'll receive guidance from experienced mentors and experts 
who will help you with technical challenges and provide valuable insights. Collaboration is at the 
heart of Omdena, and we encourage a supportive environment for all participants.",utter_support,"Fantastic! Omdena welcomes collaborations with organizations. Please visit our 
website's ""Partner With Us"" page, where you can find more information about 
potential partnerships and how to get in touch with our team. We'd love to 
explore collaboration opportunities with you!",utter_join_company,"Absolutely! Omdena values learning and knowledge-sharing. We offer AI-related resources, including articles, 
 tutorials, and webinars on our website's ""Resources"" section. Whether you're a beginner or an experienced 
 professional, you'll find valuable insights there.",utter_resources
,,How can I develop my AI portfolio with Omdena?,develop_portfolio,How do I join an AI Innovation challenge?,join_ai_innovation_challenge,,,,,I found a project that interests me. What should I do next?,about_project,What happens after the project is completed?,project_completion,What are the key elements included in the partnership agreement?,partnership,Do you host events or webinars related to AI?,events
,,Collaborate to solve real-world challenges through Local Chapters or AI Innovation Challenges.,utter_develop_portfolio,Explore real world challenges and develop real-world solutions with diverse teams of up to 50 AI engineers and data scientists. Check out more https://omdena.com/projects/,utter_join_ai_innovation_challenge,,,,,"Fantastic! Once you've selected a project, click on it to view more details. You'll find information 
about the project's timeline, objectives, and the skills required. If it seems like a good fit, 
proceed to the next step. Apply to Join: On the project page, you'll see an ""Apply Now"" button. 
Click on it to fill out the application form. Make sure to provide relevant details about your 
background, expertise, and why you're interested in joining the project.",utter_about_project,"At the end of the project, your team will present the AI solution you've developed. Omdena 
showcases the project's outcomes on our website and social media channels, giving you 
exposure and recognition for your hard work.",utter_project_completion,"If your project is selected for collaboration, we'll work together to  formalize the 
partnership through a mutually agreed-upon agreement. The partnership agreement 
will outline the project scope, roles and responsibilities, data sharing agreements 
(if applicable), timeline, and any other relevant details. It will serve as a foundation 
for our collaboration.",utter_partnership,"Yes, we do! Omdena regularly organizes webinars, workshops, and AI-related events. You can find the 
 schedule and registration details on our website's ""Events"" page. Make sure to check back frequently as 
 we update the information regularly.",utter_events
,,,,"What is the Omdena School, and what courses does it offer?",join_omdena_school,,,,,I've submitted my application. What's the next step in the process?,application_period,"This sounds like a fantastic opportunity! Before I begin, is there anything else I should know?",,Is there anything else we need to know?,additional_info,How can I get in touch with someone from Omdena?,omdena_support
,,,,"Omdena School empowers learners with quality education in Machine Learning, Artificial Intelligence, Data Science and Data Engineering courses. Sign up as a student or instructor https://omdena.com/omdena-school/",utter_join_omdena_school,,,,,"Great job! Now, our team will review your application and get back to you within a few days. 
If your application is shortlisted, you'll receive an email with further instructions for the next 
steps. Once accepted, you'll be added to the project's collaborative workspace. Here, 
you'll work with a diverse team of AI enthusiasts, data scientists, and experts from around 
the world.",utter_application_period,"Just one last thing – make sure you have a reliable internet connection and access to the necessary 
tools and software for AI development. Also, don't hesitate to ask questions or seek help 
from the Omdena community. We're here to support you throughout your journey.",,"Just a friendly reminder to ensure that you have the necessary  infrastructure and 
resources to actively participate in the project.  Collaboration and commitment are key 
to a successful partnership.",utter_additional_info,"You can reach out to us by filling out the contact form on our website's ""Contact"" page. Alternatively, 
 you can also connect with us through our social media channels like Twitter and LinkedIn. Our team will be 
 happy to assist you with any inquiries you may have.",utter_omdena_support
,,,,Can I join as a beginner?,beginner_join,,,,,"What kind of commitment is expected from participants during the 
 project?",commitment,,,,,"I need technical support for a project I'm working on with 
 Omdena.",technical_help
,,,,You can join whether you are just in the beginning of your career or you are an experienced professional,utter_beginner_join,,,,,"Omdena projects usually run for 8 weeks, and we expect active participation during this period. 
The time commitment may vary based on the project's complexity and your role. However, 
we understand that life can be busy, so we're flexible as long as you communicate with your 
team. During the project, you'll collaborate on solving real-world challenges using AI techniques. 
It's an excellent opportunity to learn, share knowledge, and network with industry professionals.",utter_commitment,,,,,"I apologize for any inconvenience. For technical support, please contact the project lead or your team 
 members. They can provide the necessary assistance related to the project. If you're facing website-related 
 technical issues, please e-mail to support@omdena.com.",utter_technical_help
,,,,What are the benefits of joining the Omdena community?,benefits_of_joining_community,,,,,,,,,,,,
,,,,"You get opportunities to build your portfolio, mentoring support, free access to paid courses, access to paid projects, certificates of completion, access to writing and speaking opportunities, and recommendations.",utter_benefits_of_joining_community,,,,,,,,,,,,
